relationship_id,start_id,end_id,relationship_type,predicate_zh,start_name,end_name,source
relgen_d3602060f4200e05c644,entity_JZ_MD_027,entity_theme_002,BASED_ON,取材于,三打祝家庄,水浒传,广东民间工艺博物馆官网
relgen_ad3dc58635e7649a835e,entity_JZ_MD_028,entity_theme_001,BASED_ON,取材于,长坂坡救阿斗,三国演义,广东民间工艺博物馆官网
relgen_29a5c55b5ac5064e4eed,entity_JZ_MD_029,entity_theme_001,BASED_ON,取材于,三顾茅庐,三国演义,广东民间工艺博物馆官网
relgen_d49e8155c6568bddeef5,entity_JZ_SD_029,entity_theme_001,BASED_ON,取材于,赵颜求寿,三国演义,广东民间工艺博物馆官网
relgen_e4706a740eb01da9920a,entity_JZ_SD_040,entity_theme_003,BASED_ON,取材于,渭水访贤,封神演义,广东民间工艺博物馆官网
relgen_daff003c852299b29e44,entity_JZ_SD_041,entity_theme_001,BASED_ON,取材于,孔明智收姜维,三国演义,广东民间工艺博物馆官网
relgen_7c9a8d62da0d7fb1b2e4,entity_JZ_SD_043,entity_theme_004,BASED_ON,取材于,太白退番书,隋唐演义,广东民间工艺博物馆官网
relgen_ca3becc909fba5d5a316,entity_JZ_SD_045,work_韩非子,BASED_ON,取材于,曾子杀猪,韩非子,广东民间工艺博物馆官网
relgen_c4989b833e394f2efb71,entity_JZ_SD_048,entity_theme_001,BASED_ON,取材于,张飞夜战马超,三国演义,广东民间工艺博物馆官网
relgen_954af07b2f4317fef4f7,entity_JZ_SD_049,entity_theme_006,BASED_ON,取材于,穆桂英挂帅,杨家将,广东民间工艺博物馆官网
relgen_2bfba5bcdbd015fc4623,entity_JZ_SD_050,entity_theme_001,BASED_ON,取材于,三英战吕布,三国演义,广东民间工艺博物馆官网
relgen_c605431d184155f0f214,entity_JZ_ZD_004,entity_theme_002,BASED_ON,取材于,梁山聚义,水浒传,广东民间工艺博物馆官网
relgen_d88d72b8af17612c13da,entity_JZ_ZD_020,entity_theme_001,BASED_ON,取材于,舌战群儒,三国演义,广东民间工艺博物馆官网
relgen_3b24fa3c277ac2af757a,entity_JZ_ZD_028,entity_theme_001,BASED_ON,取材于,群英会,三国演义,广东民间工艺博物馆官网
relgen_434d56c6daf1ecd52b3c,entity_JZ_ZD_038,entity_theme_001,BASED_ON,取材于,大宴铜雀台,三国演义,广东民间工艺博物馆官网
relgen_ef73935e5fc752422ef8,entity_JZ_ZD_039,entity_theme_001,BASED_ON,取材于,甘露寺,三国演义,广东民间工艺博物馆官网
relgen_ee26b52ab28f92ffaac1,entity_JZ_TS_003,entity_theme_006,BASED_ON,取材于,六郎斩子,杨家将,广东民间工艺博物馆官网
relgen_ae29b7b9cb351366c3a3,entity_JZ_TS_004,entity_theme_006,BASED_ON,取材于,四郎探母,杨家将,广东民间工艺博物馆官网
relgen_ebe30d6a2e7fb098aff2,entity_JZ_TS_006,work_晋中兴书,BASED_ON,取材于,羲之换鹅（羲之爱鹅、写经换鹅）,晋中兴书,广东民间工艺博物馆官网
relgen_3aefc118be817c56b2fa,entity_JZ_TS_007,entity_theme_001,BASED_ON,取材于,刘备过江招亲,三国演义,广东民间工艺博物馆官网
relgen_861291cf86a8b73ccd91,entity_JZ_TS_008,entity_theme_003,BASED_ON,取材于,武王伐纣,封神演义,广东民间工艺博物馆官网
relgen_9b5973593be2d4673966,entity_JZ_TS_014,entity_theme_001,BASED_ON,取材于,智收南郡,三国演义,广东民间工艺博物馆官网
relgen_3ff5b1d891ddd7e76f2e,entity_JZ_TS_027,work_说唐,BASED_ON,取材于,和合二仙（和合二圣）,说唐,广东民间工艺博物馆官网
relgen_de8b8ea89fb287b1932e,entity_JZ_TS_041,work_薛仁贵征东,BASED_ON,取材于,丁山射雁,薛仁贵征东,广东民间工艺博物馆官网
relgen_afb8fd5dc84dd8782172,entity_JZ_TS_042,work_说岳全传,BASED_ON,取材于,岳家庄（岳云出世）,说岳全传,广东民间工艺博物馆官网
relgen_ab1b781c8ea474e5e2d6,entity_JZ_TS_046,work_说唐,BASED_ON,取材于,裴元庆锤打程咬金,说唐,广东民间工艺博物馆官网
relgen_77f0a91158269f03608f,entity_JZ_TS_053,work_说唐,BASED_ON,取材于,仁贵打虎救程咬金,说唐,广东民间工艺博物馆官网
relgen_8ef7619206e4115c2d8d,entity_JZ_HS_004,entity_theme_001,BASED_ON,取材于,桃园结义,三国演义,广东民间工艺博物馆官网
relgen_2e5f25bae252212f6a9e,entity_JZ_HS_006,entity_theme_001,BASED_ON,取材于,古城会,三国演义,广东民间工艺博物馆官网
relgen_a4656fb965143bb97737,entity_JZ_HS_026,entity_theme_001,BASED_ON,取材于,张松看孟德新书,三国演义,广东民间工艺博物馆官网
relgen_661815eef0e246af06bf,entity_JZ_HS_030,work_征西全传,BASED_ON,取材于,樊梨花与薛丁山,征西全传,广东民间工艺博物馆官网
relgen_7e8cd0a75af8a475f7f6,entity_JZ_HS_035,work_东游记,BASED_ON,取材于,八仙过海,东游记,广东民间工艺博物馆官网
relgen_3d63754859b8ef91a5b3,entity_JZ_HS_048,entity_theme_004,BASED_ON,取材于,风尘三侠,隋唐演义,广东民间工艺博物馆官网
relgen_4808d6157f65bbb2b1cc,entity_JZ_HS_048,work_虬髯客传,BASED_ON,取材于,风尘三侠,虬髯客传,广东民间工艺博物馆官网
relgen_1a4b9133d8bcbd02e81b,entity_JZ_CH_001,work_说唐,BASED_ON,取材于,门神,说唐,广东民间工艺博物馆官网
relgen_852e35aa7cd7a9874f38,entity_CP_CC_001,category_CC,BELONGS_TO,属于,景德镇窑珊瑚红地描金五彩山水纹瓶,彩瓷,广东民间工艺博物馆官网
relgen_85bc6e5452c7e84b2ee9,entity_CP_CC_002,category_CC,BELONGS_TO,属于,景德镇窑堆蓝团龙纹胆瓶,彩瓷,广东民间工艺博物馆官网
relgen_fbfacb50d6631c4e86fe,entity_CP_CC_003,category_CC,BELONGS_TO,属于,景德镇窑粉彩渔樵问答纹瓶,彩瓷,广东民间工艺博物馆官网
relgen_a85ad38abbfb01fe112d,entity_CP_CC_004,category_CC,BELONGS_TO,属于,景德镇窑珊瑚红描金龙凤纹大口瓶,彩瓷,广东民间工艺博物馆官网
relgen_c8d604e80978ad67555a,entity_CP_CC_005,category_CC,BELONGS_TO,属于,景德镇窑蓝地缠枝花开窗牡丹纹双耳瓶,彩瓷,广东民间工艺博物馆官网
relgen_6aff04b8614231a8f7db,entity_CP_CC_006,category_CC,BELONGS_TO,属于,景德镇窑紫红地开窗山水纹双耳莲口瓶,彩瓷,广东民间工艺博物馆官网
relgen_00525cab3d02377b7ea5,entity_CP_CC_007,category_CC,BELONGS_TO,属于,景德镇窑珊瑚红地描金花卉开窗诗文方形塔瓶,彩瓷,广东民间工艺博物馆官网
relgen_14ee3bbdfbb3ad6a93fb,entity_CP_CC_008,category_CC,BELONGS_TO,属于,景德镇窑胭脂红地碎花纹瓶,彩瓷,广东民间工艺博物馆官网
relgen_33a47db2a43cf2159a86,entity_CP_CC_009,category_CC,BELONGS_TO,属于,景德镇窑粉彩太白醉酒纹瓶,彩瓷,广东民间工艺博物馆官网
relgen_1132125c0edd482153df,entity_CP_CC_010,category_CC,BELONGS_TO,属于,景德镇窑珊瑚红地开窗花鸟纹面盆,彩瓷,广东民间工艺博物馆官网
relgen_db670676b075488500ba,entity_CP_CC_011,category_CC,BELONGS_TO,属于,景德镇窑蓝锦地开窗儿童耍乐图瓶,彩瓷,广东民间工艺博物馆官网
relgen_2bf882f55b82c019e2ca,entity_CP_CC_012,category_CC,BELONGS_TO,属于,景德镇窑蓝地开窗花鸟纹观音瓶,彩瓷,广东民间工艺博物馆官网
relgen_56488610f234ecfeba36,entity_CP_CC_013,category_CC,BELONGS_TO,属于,景德镇窑粉彩三酸图梅瓶,彩瓷,广东民间工艺博物馆官网
relgen_5398c322e63b572198b4,entity_CP_CC_014,category_CC,BELONGS_TO,属于,景德镇窑粉彩羲之爱鹅图瓶,彩瓷,广东民间工艺博物馆官网
relgen_85122a80cf961025113b,entity_CP_CC_015,category_CC,BELONGS_TO,属于,景德镇窑珐琅地粉彩山水纹瓶,彩瓷,广东民间工艺博物馆官网
relgen_f259714afa5363431c37,entity_CP_CC_016,category_CC,BELONGS_TO,属于,景德镇窑青花五彩忍冬纹茶盏,彩瓷,广东民间工艺博物馆官网
relgen_867e047b059a8dc1e701,entity_CP_CC_017,category_CC,BELONGS_TO,属于,景德镇窑粉彩柳蝉纹梅瓶,彩瓷,广东民间工艺博物馆官网
